program_name,categories,sections,subsections,course_code,course_name,course_oid,credits,min_categories_credits,section_credit_min,section_credit_max
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,IDIS 240,IDIS 240 - Introduction to Archaeology,56195,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,PHIL 223,PHIL 223 - Peaceable Kingdom,56843,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,PHYS 131,"PHYS 131 - Matter, Light, and Energy",56332,1,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,SCES 110,SCES 110 - Science and a Changing World,56838,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,SCM 201,SCM 201 - Introduction to Operations and Supply Chain Management,56822,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Environmental Sustainability,STCR 225,STCR 225 - Community in a Costa Rican Watershed,57132,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,ARTH 241,ARTH 241 - Chinese Art History,55813,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,ARTH 243,ARTH 243 - Japanese Art History,56943,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,BIOL 371,BIOL 371 - Tropical Ecosystems: Conservation and Development in Belize,57039,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,BUS 190,BUS 190 - Leadership in Kenya,56860,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,CORE 231,CORE 231 - Off-Campus Global Regions and Cultures,57079,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,ECON 237,ECON 237 - Regional Economies of the World,55996,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,ECON 337,ECON 337 - World Poverty and Economic Development,56003,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,EDUC 250,EDUC 250 - Social Studies Inquiry,56961,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,ENGL 300,ENGL 300 - Advanced Studies in Global Literature,56034,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,FREN 202,FREN 202 - Intermediate French II,56096,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,FREN 301,FREN 301 - Advanced French I: Sustainability in France,56097,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,FREN 302,FREN 302 - Advanced French II: Discovering the Arts,56098,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,FREN 320,FREN 320 - May Study Abroad,56859,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,FREN 363,FREN 363 - The Francophone World: North Africa,56102,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,GEO 110,GEO 110 - World Regional Geography,56107,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,GEO 230,GEO 230 - The Global Economy and Transforming Regions,56112,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,GERM 202,GERM 202 - Intermediate German II,56144,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,GERM 301,GERM 301 - Advanced German Language and Culture,56145,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,GERM 302,GERM 302 - German Cultures and Intercultural Studies,56146,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,GERM 303,GERM 303 - Topics in German Literature,56147,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,GERM 320,GERM 320 - German Studies Abroad,56811,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,HIST 225,HIST 225 - England,56155,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,HIST 233,HIST 233 - Modern Middle East,56157,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,HIST 242,HIST 242 - Africa and the World,56158,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,HIST 245,HIST 245 - East Asia to 1800,56159,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,HIST 261,HIST 261 - Ancient Mediterranean,56166,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,HIST 262,"HIST 262 - Early Medieval Worlds, 300-1000",56167,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,HIST 267,HIST 267 - Modern Europe,56170,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,IDIS 212,IDIS 212 - Global Health,56194,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,IDIS 220,IDIS 220 - Chinese Medicine and Culture,56812,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,IDIS 231,IDIS 231 - Cohorts Intensive: Arts Collective Travel,57134,1,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,MUSC 107,MUSC 107 - World Music,56264,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,NURS 360,"NURS 360 - Exploring Culture, Health, Faith, and Nursing",57131,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,POLS 224,POLS 224 - Contemporary Issues in Comparative Politics,56955,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,POLS 277,POLS 277 - Asian Politics,56573,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,POLS 279,POLS 279 - African Politics,56367,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,REL 353,REL 353 - Islam,56451,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,SCM 311,SCM 311 - Global Supply Chain Practicum II,57016,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,SOC 130,SOC 130 - Introduction to Cultural Anthropology,56463,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,SOC 231,SOC 231 - Intercultural Communication,56466,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,SOWK 260,SOWK 260 - Global Issues and Perspectives,56481,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,SPAN 202,SPAN 202 - Intermediate Spanish II,56494,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,SPAN 302,"SPAN 302 - Advanced Grammar, Composition and Conversation II",56496,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,SPAN 306,SPAN 306 - Culture and Society in the Spanish-Speaking World,57189,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,SPAN 307,SPAN 307 - Engaging Hispanic Culture in Place,56816,2,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,SPAN 309,SPAN 309 - Introduction to the Hispanic World II,56498,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,STBR 312,STBR 312 - Studies in British Culture,56544,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,STCR 225,STCR 225 - Community in a Costa Rican Watershed,57132,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Engaged Citizenship Commitments,Global Regions and Cultures,STHU 210,STHU 210 - Studies in Central European Culture,56550,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,ARTH 320,ARTH 320 - Classical Architecture from Antiquity to Now,56836,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,ARTH 330,ARTH 330 - Art and Fashion,56835,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,BIOL 395,BIOL 395 - Perspectives in Biology,55876,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,BIOL 396,BIOL 396 - Perspectives in Medicine,55877,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,BUS 393,BUS 393 - Strategic Management,55897,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,MIN 372,MIN 372 - Congregations and the Common Good,57082,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,COMM 330,COMM 330 - Media and Society,55909,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,COMM 398,"COMM 398 - Communication, Technology, and Society",56828,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,CS 384,CS 384 - Perspectives on Computing,55980,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,EDUC 359,EDUC 359 - Student Teaching Seminar,56967,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,ENGL 395,ENGL 395 - Senior Seminar,56046,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,ENGR 340,ENGR 340 - Senior Design Project,56084,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,GCS 391,GCS 391 - Leading through Change,57143,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,GEO 395,"GEO 395 - Senior Seminar in Geology, Geography, and Environment",56127,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,HIST 358,HIST 358 - Mythologies of the Frontier West,56179,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,HIST 366,HIST 366 - The Use and Abuse of the Medieval Past,57193,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,IDIS 310,IDIS 310 - Science in Society,56196,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,IDIS 312,IDIS 312 - The Science and Art of Modern Medicine,57190,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,KIN 332,KIN 332 - Philosophy of Physical Education and Sport,56224,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,MATH 380,MATH 380 - Perspectives on Modern Mathematics,56257,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,ML 326,ML 326 - Restorative Justice,56621,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,NURS 380,NURS 380 - Critical Reflections on Health,56289,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,PHIL 313,PHIL 313 - Emotions and Motivation,56841,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,PHIL 318,"PHIL 318 - Minds, Brains, and Persons",56326,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,PPE 395,"PPE 395 - Politics, Markets, and Morality",56837,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,PSYC 399,PSYC 399 - Psychology and Religion,56402,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,PUBH 385,PUBH 385 - The Impact of Clean Water: Honduras and Navajo Nation,56813,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,PUBH 395,PUBH 395 - Human Flourishing through Public Health,56407,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,RECR 310,RECR 310 - Theory and Philosophy of Therapeutic Recreation,56411,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,SOWK 381,SOWK 381 - Social Work Capstone,56489,4,8,,
Core Program,CROSS-DISCIPLINARY INTEGRATION,Contemporary Challenges and Enduring Questions,,SPAUD 399,SPAUD 399 - Critical Reflections in Speech Pathology,56531,4,8,,
